O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{64}(0.3)	7.74303407061274E-01	1.41129834454448E-02	1.70159788203687E-01	2.54676813926471E-03	1.44881027618078E+02	   U
O_{65}(0.3)	9.60218322313732E-01	8.37079373479700E-03	1.62681530760599E-01	8.04595270766517E-03	1.45640418463234E+02	   S
O_{66}(0.3)	3.58247956212414E-02	1.94869019509529E-01	2.68668001749917E-03	-3.36283416508903E-03	1.49340792219169E+02	   S
O_{67}(0.3)	5.87592616122461E-02	1.96871860565818E-01	3.84202950291729E-03	4.53722677471574E-04	1.51219035197229E+02	   U
O_{68}(0.3)	-8.91542184566414E-03	1.91773807890771E-01	1.27598368441472E-02	-3.23259687492885E-03	1.52357204657111E+02	   U
O_{69}(0.3)	6.51125205844665E-02	2.01920936745403E-01	9.94538598256415E-04	-3.49297592839146E-04	1.53877533190622E+02	   S
O_{70}(0.3)	8.97845631832978E-01	8.42452930946496E-03	1.63518605988971E-01	1.57975889744312E-03	1.54232083367862E+02	   S
O_{71}(0.3)	6.44364916292298E-02	2.02098911508479E-01	2.02335813674044E-03	-1.07225323440713E-04	1.55895282182844E+02	   S
O_{72}(0.3)	-1.28343261197161E-02	1.87745387082519E-01	1.04232076294744E-02	-4.17072469064930E-03	1.59314987669637E+02	   S
O_{73}(0.3)	9.02207851364309E-01	5.46933190908184E-03	1.61935131962943E-01	1.93434711070423E-04	1.60741991553683E+02	   U
O_{74}(0.3)	7.83211363632518E-02	1.99890233839687E-01	2.87002633223750E-03	3.49702942299190E-03	1.61417792040203E+02	   S
O_{75}(0.3)	7.14469542484777E-02	1.96919183384688E-01	1.00178126504406E-03	2.31284692935663E-03	1.62189927802252E+02	   U
O_{76}(0.3)	1.17196412971418E-01	1.95091365010546E-01	3.80250657726180E-03	1.11758816479433E-02	1.63161952702180E+02	   U
O_{77}(0.3)	9.53745333236197E-01	1.72546457834569E-02	1.60151036010512E-01	-7.22931960749402E-04	1.63702395225318E+02	   U
O_{78}(0.3)	8.51570121061474E-01	9.44390174379752E-03	1.68547030822131E-01	7.39250196487503E-03	1.67119243871823E+02	   S
O_{79}(0.3)	9.80926980519453E-02	1.95224309735671E-01	3.08442807375667E-03	7.71966651151612E-03	1.68255888829802E+02	   U
O_{80}(0.3)	7.09842404754635E-02	1.96498033075266E-01	3.21848614835905E-03	2.83240712608422E-03	1.69017678715981E+02	   U
O_{81}(0.3)	8.68254445298904E-01	9.73118878614463E-03	1.64462950512684E-01	9.34319832997980E-04	1.72400223069441E+02	   U
O_{82}(0.3)	5.22584225513468E-02	1.98790972709887E-01	4.72291663140748E-03	-2.71404809761442E-04	1.74682301377850E+02	   S
O_{83}(0.3)	7.59158219770304E-01	8.01945129321948E-03	1.74057810870802E-01	4.16601101758565E-03	1.81025934848785E+02	   U
O_{84}(0.3)	8.96709920360615E-02	1.98360119446945E-01	2.74945410790361E-03	6.48167128585628E-03	1.83854665190216E+02	   S
O_{85}(0.3)	9.77964059531319E-02	1.96668066325895E-01	7.51580371874477E-04	7.94647280652824E-03	1.87651580963660E+02	   S
O_{86}(0.3)	1.03479760335316E-01	1.96882896602668E-01	8.69478774113385E-04	9.07296887494202E-03	1.88006153063993E+02	   S
O_{87}(0.3)	1.09098675216014E-01	1.97071086288091E-01	7.40448178406768E-04	1.01995308069338E-02	1.88338494498552E+02	   S
O_{88}(0.3)	6.91807317372776E-02	1.96758905899142E-01	3.84304407541728E-03	3.12837655815042E-03	1.89070796654899E+02	   S
