O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{599}(1.0)	3.16915444787050E-01	2.35218358487782E-01	1.77051864238051E-01	2.48175559036034E-04	1.27872977604962E+02	   U
O_{600}(1.0)	3.70108894185439E-01	2.42467404225600E-01	1.73398025095385E-01	9.70309632536654E-03	1.27940282101926E+02	   U
O_{601}(1.0)	4.46971255264064E-01	2.99323908038024E-01	1.36298963246196E-01	1.98659278259294E-03	1.27998200737219E+02	   U
O_{602}(1.0)	4.61530240418565E-01	4.49553745076914E-01	1.31474149218158E-01	-1.47371385798525E-03	1.28022346707808E+02	   U
O_{603}(1.0)	2.48962120049935E-02	2.56545679028448E-01	5.35595235365330E-01	-1.22600261080316E-04	1.28112851738235E+02	   U
O_{604}(1.0)	4.62549037023728E-01	3.82461726759626E-01	2.92602817844096E-01	-6.10665730342221E-04	1.28392262482428E+02	   U
O_{605}(1.0)	1.18793522009903E-01	3.17781894721560E-02	5.74171084845937E-01	-1.50102002025964E-03	1.28425247521942E+02	   S
O_{606}(1.0)	4.96250599445721E-01	4.47672540562244E-01	1.39583472644647E-01	1.08291039355735E-02	1.28660002482251E+02	   U
O_{607}(1.0)	1.14940930150658E-01	4.11679534621687E-01	3.34571152335827E-01	3.57240449454643E-03	1.28757878605522E+02	   U
O_{608}(1.0)	2.52260829950054E-01	5.17555368484119E-01	8.62973894710070E-02	-3.83868212409965E-03	1.28771436574493E+02	   U
O_{609}(1.0)	7.90820233377282E-02	2.86532749468546E-01	5.32953207744461E-01	1.33301494815652E-03	1.28854238910201E+02	   U
O_{610}(1.0)	4.98772133223990E-02	2.58590882766459E-01	5.35835244328248E-01	-3.21229213078321E-04	1.28873792439312E+02	   U
O_{611}(1.0)	1.32087696308402E-01	5.07406245191468E-02	5.84193895333740E-01	-1.19616270724947E-03	1.28890048935076E+02	   U
O_{612}(1.0)	3.48738110352817E-01	4.48830945243013E-01	1.95905025642254E-01	-1.04273311532123E-02	1.28918759923396E+02	   U
O_{613}(1.0)	4.00424338933515E-01	2.66413403727371E-01	1.19668653684603E-01	-6.53592766471678E-03	1.28948588836347E+02	   U
O_{614}(1.0)	7.13855702915754E-02	2.06962670810718E-01	5.21085592546564E-01	2.85066684507459E-04	1.28976515317049E+02	   U
O_{615}(1.0)	5.17363641523546E-01	5.32714348429462E-01	1.87525673879178E-01	4.22748779277615E-03	1.29016362740149E+02	   U
O_{616}(1.0)	2.46776483513496E-01	2.40979625592998E-01	1.97114359553827E-01	6.82535993061153E-04	1.29118351792585E+02	   U
O_{617}(1.0)	2.50595483920642E-01	3.18838373497816E-01	5.51458407428326E-01	7.22859199454707E-04	1.29276642868411E+02	   U
O_{618}(1.0)	3.58281615361170E-01	2.38238477578575E-01	1.47287014170689E-01	-2.18929131470685E-04	1.29400904354544E+02	   U
O_{619}(1.0)	4.44919558777559E-01	3.15928105903469E-01	1.64072452944591E-01	-7.22564450005132E-03	1.29613896679007E+02	   U
O_{620}(1.0)	4.34719372814431E-01	4.24610768646292E-01	2.85611356781469E-01	2.08111381471066E-02	1.29670437255240E+02	   U
O_{621}(1.0)	3.59938312964094E-01	2.42996229180169E-01	1.61752611403792E-01	1.35750757278106E-02	1.29729550944046E+02	   U
O_{622}(1.0)	2.62610433153970E-01	2.52688970084228E-01	1.43224855084009E-01	7.38621679015232E-03	1.29737610239314E+02	   U
O_{623}(1.0)	2.48843796530449E-01	2.92777779699835E-01	5.54138462986103E-01	6.99454239513280E-03	1.29751602869193E+02	   U
O_{624}(1.0)	3.15920991331916E-01	2.38630016946005E-01	8.65261042056005E-02	-4.20774995115284E-03	1.29921841776536E+02	   U
O_{625}(1.0)	5.66991076492170E-01	4.60957471880777E-01	2.41384122667535E-01	-4.65473462124639E-03	1.30077921399779E+02	   U
O_{626}(1.0)	3.43923082131489E-01	4.76430981643046E-01	1.74492214335264E-01	1.35476222280703E-02	1.30235158784194E+02	   U
O_{627}(1.0)	3.63999240424076E-02	5.10775842863899E-01	1.09911403236414E-01	-8.07732618872130E-03	1.30422547605112E+02	   U
O_{628}(1.0)	1.08466313409145E-01	3.06129522936866E-01	5.37557005955890E-01	2.70397855546232E-03	1.30880312529328E+02	   U
O_{629}(1.0)	7.83102221941202E-02	2.89608423413084E-01	5.35900868276690E-01	1.18898636917909E-03	1.30910133245990E+02	   U
O_{630}(1.0)	5.63119558755512E-01	4.93950857676204E-01	8.31708405609465E-02	1.20511615801887E-02	1.31106000107022E+02	   U
O_{631}(1.0)	7.09934688995019E-02	2.09167923221529E-01	5.25912786629772E-01	1.27915939558618E-04	1.31235736633403E+02	   U
O_{632}(1.0)	4.26825537478100E-01	2.64675023297189E-01	1.34807766519147E-01	3.96833140955778E-03	1.31241729930139E+02	   U
O_{633}(1.0)	6.27732371834493E-02	2.80318135086233E-01	2.35098939951073E-01	-4.66988174727779E-03	1.31264541286663E+02	   U
O_{634}(1.0)	1.43805984562675E-01	4.53672486508279E-01	2.27259728797090E-01	1.00775167608276E-03	1.31292864072553E+02	   U
O_{635}(1.0)	2.97388547467090E-01	2.47671531805303E-01	8.09618607701781E-02	4.44709519844779E-03	1.31515916123053E+02	   U
O_{636}(1.0)	4.48508014254666E-01	4.09421702582975E-01	2.76027932674678E-01	6.97806218037435E-03	1.31561552881589E+02	   U
O_{637}(1.0)	3.76393885997196E-01	2.29047152486279E-01	1.15998407518820E-01	-5.18799385748684E-03	1.31799484670990E+02	   U
O_{638}(1.0)	5.08551539927865E-01	4.80363388024094E-01	9.06569518106801E-02	-1.05550519454444E-02	1.31860633537824E+02	   U
O_{639}(1.0)	4.76070238232849E-01	4.69701014941069E-01	2.76913374659841E-01	1.79477532305468E-03	1.31974247068308E+02	   U
O_{640}(1.0)	1.08270627661484E-01	3.09418678584634E-01	5.38338228073193E-01	2.85820552572511E-03	1.32143442270922E+02	   U
O_{641}(1.0)	4.88936746609849E-02	5.17417562866933E-01	9.99748867208244E-02	-9.26696214725494E-03	1.32226373538900E+02	   U
O_{642}(1.0)	6.88456850949556E-01	2.42675843723689E-01	5.27653957824543E-02	1.33646466333567E-03	1.32232956521943E+02	   U
O_{643}(1.0)	3.47143511915890E-01	2.35903265420531E-01	1.10767844534963E-01	1.69692248201413E-03	1.32342830742696E+02	   U
O_{644}(1.0)	1.95170830744894E-01	2.56826650905427E-01	1.42373858859983E-01	4.33116773877771E-03	1.32369094005139E+02	   U
O_{645}(1.0)	4.91404448858509E-02	2.97478673745172E-01	5.23461811460543E-01	-9.47342553245104E-04	1.32382602780191E+02	   U
O_{646}(1.0)	3.50800949782273E-01	2.53524945553316E-01	9.24705084428042E-02	-1.77636931823458E-03	1.32385062182537E+02	   U
O_{647}(1.0)	5.97078996262006E-01	4.69268764278950E-01	1.51626635209215E-01	1.22032209505753E-03	1.32559292418566E+02	   U
O_{648}(1.0)	2.82551437549189E-01	4.50823455152645E-01	3.22185908777610E-01	1.39115157820162E-02	1.32672359619096E+02	   U
O_{649}(1.0)	2.81515373025626E-02	3.46643551582901E-01	5.32839609197760E-01	5.60980155130657E-04	1.32864336883975E+02	   S
O_{650}(1.0)	2.04918544083966E-01	2.69909625270909E-01	2.35572892350402E-01	3.42353813301310E-03	1.32904862427989E+02	   U
O_{651}(1.0)	1.99404525667061E-01	2.62827428671399E-01	2.44894053858931E-01	1.56617931455967E-03	1.32906580512429E+02	   U
O_{652}(1.0)	5.62332595465389E-02	3.45233999445494E-01	5.33183709751303E-01	1.09160000917259E-03	1.32927542242327E+02	   S
O_{653}(1.0)	6.10902400739696E-01	4.65323625292944E-01	2.24334367657450E-01	-3.11060461030005E-03	1.33050184741215E+02	   U
O_{654}(1.0)	3.20586035174084E-01	2.48484582877718E-01	1.39991618959000E-01	6.99421023962196E-03	1.33080504408744E+02	   U
O_{655}(1.0)	3.18885767449157E-01	2.30306072270254E-01	1.71339290732793E-01	2.46598234753004E-04	1.33135117348133E+02	   U
O_{656}(1.0)	5.14612441110039E-01	4.85645204925675E-01	2.08218664371032E-01	-1.37926783232203E-03	1.33240152582669E+02	   U
O_{657}(1.0)	1.36821256528630E-01	4.58107799132597E-01	2.32297939005401E-01	-6.69542769897175E-03	1.33303813688298E+02	   U
O_{658}(1.0)	4.91866368231685E-01	4.90212722559463E-01	1.14970688691657E-01	-1.85525599251261E-02	1.33341392102902E+02	   U
O_{659}(1.0)	1.12526910571547E-01	3.36317110256539E-01	5.36978277952607E-01	2.97216862089477E-03	1.33368442246027E+02	   S
O_{660}(1.0)	3.44579022427422E-02	4.40220899569023E-01	5.17199735875596E-01	-1.04608024588200E-03	1.33379385920422E+02	   U
O_{661}(1.0)	1.38529434988212E-01	3.36909736597019E-01	5.35030607912182E-01	1.68282351816122E-03	1.33513824072749E+02	   S
O_{662}(1.0)	4.08343110173454E-01	4.32515883703050E-01	1.87691184932660E-01	1.03145648895293E-02	1.33905837564589E+02	   U
O_{663}(1.0)	3.59855465389451E-02	1.35299421311754E-01	5.91312524862769E-01	7.00742689053924E-04	1.33963276146892E+02	   U
O_{664}(1.0)	2.40343421341930E-01	2.61193589301645E-01	5.60506368606747E-01	-4.53452372385519E-03	1.34182210921712E+02	   U
O_{665}(1.0)	2.61091796442868E-01	4.36665291776977E-01	3.22166824990544E-01	-5.10294512432044E-03	1.34185475750177E+02	   U
O_{666}(1.0)	1.06871072644019E-01	3.23830699510416E-01	5.34309875934572E-01	1.52962262549531E-03	1.34272466676415E+02	   S
O_{667}(1.0)	6.07874381872854E-01	4.60586199462090E-01	2.41461249149803E-01	1.56345092847030E-02	1.34301754373065E+02	   U
O_{668}(1.0)	1.98218565856924E-01	3.48825407155719E-01	5.36238824416760E-01	4.72123678765361E-04	1.34414417117659E+02	   S
O_{669}(1.0)	4.35980686797724E-01	4.17175640411820E-01	2.83018953091420E-01	1.59580940619413E-02	1.34423778283672E+02	   U
O_{670}(1.0)	3.68410929880816E-01	2.46528087525240E-01	1.69791515166959E-01	1.41094512054952E-02	1.34598951701554E+02	   U
O_{671}(1.0)	1.35006750119325E-01	4.60509149625687E-01	2.35798845988035E-01	-5.33287638716732E-03	1.34620606553551E+02	   U
O_{672}(1.0)	2.43382494032343E-01	2.46679385982734E-01	1.34137993020056E-01	-1.12143177870918E-02	1.35124216436039E+02	   U
O_{673}(1.0)	1.30048170984594E-01	5.88600145837683E-02	5.85723421371198E-01	-1.15327516645268E-03	1.35197714814804E+02	   U
O_{674}(1.0)	2.52584713044869E-01	2.52700697297213E-01	1.42649369578089E-01	5.77866468487121E-03	1.35448576284436E+02	   S
O_{675}(1.0)	4.67472587450782E-01	3.49071597105866E-01	1.75550409415016E-01	-4.81976772063027E-03	1.35465288369311E+02	   U
O_{676}(1.0)	1.86686643878423E-01	2.95512261007934E-01	5.46338892235690E-01	4.24912236139098E-03	1.35474217032637E+02	   U
O_{677}(1.0)	5.19258674561740E-01	4.59802263005257E-01	2.51592221275568E-01	-1.46606068101566E-02	1.35499637756267E+02	   U
O_{678}(1.0)	1.97635477940091E-01	4.88400525064098E-01	2.09706300606413E-01	-8.61614188547468E-03	1.35531035166609E+02	   U
O_{679}(1.0)	7.81615879745434E-02	4.16793200589407E-01	2.75688146485451E-01	3.64603806969707E-02	1.35610641924045E+02	   S
O_{680}(1.0)	4.67519176625832E-01	4.49738415454104E-01	1.55246611136324E-01	-2.71030303130782E-04	1.35666665142982E+02	   U
O_{681}(1.0)	9.33083305966656E-02	4.22324671315013E-01	2.66379550077826E-01	-3.40361550591749E-02	1.35747274302149E+02	   U
O_{682}(1.0)	1.88925581602339E-01	5.14679930594022E-02	5.82942813327689E-01	-5.41189379510021E-03	1.36001993447943E+02	   U
O_{683}(1.0)	1.35925338625283E-01	2.58455604762502E-01	2.12170354222422E-01	-5.97632037833923E-03	1.36030169478314E+02	   U
O_{684}(1.0)	2.63897012058975E-01	4.81521796970096E-01	2.07421170513291E-01	-1.07070164167686E-02	1.36198450631726E+02	   U
O_{685}(1.0)	4.11541426798233E-01	4.05101973671292E-01	1.99055507897796E-01	3.89520716178686E-03	1.36221189802137E+02	   U
O_{686}(1.0)	6.70226972256211E-01	2.60013086177193E-01	7.82871943476743E-02	-5.10947444237505E-03	1.36407381557463E+02	   U
O_{687}(1.0)	1.46337605461253E-01	3.76118649017380E-01	5.26498478131047E-01	5.85000757653611E-04	1.36428039664754E+02	   U
O_{688}(1.0)	2.21499542931929E-01	2.54807636839751E-01	1.47547733475448E-01	-1.51748660102478E-02	1.36445284825186E+02	   S
O_{689}(1.0)	1.00270691759082E-01	3.17764550476271E-01	5.30556856848347E-01	-8.26516404805546E-04	1.36478437700221E+02	   U
O_{690}(1.0)	3.19994266902857E-01	2.42277832221017E-01	1.56204039407653E-01	7.15549892556850E-03	1.36625803417581E+02	   U
O_{691}(1.0)	3.82573327635776E-01	4.31293214864436E-01	2.92401414727530E-01	1.51793600052791E-02	1.36702852724981E+02	   U
O_{692}(1.0)	5.60048185940579E-01	4.81010332763894E-01	2.12165560506292E-01	2.07828617269221E-02	1.36832821711110E+02	   U
O_{693}(1.0)	2.56997929406669E-01	4.85438281632283E-01	1.88878425148219E-01	-3.76078762637441E-03	1.36920644958237E+02	   U
O_{694}(1.0)	2.42328484115997E-01	2.54269618928430E-01	1.24824671983688E-01	1.61384918386524E-04	1.37017151302137E+02	   U
O_{695}(1.0)	4.38328531578645E-01	4.63003140398467E-01	2.88173301321937E-01	-8.38226104564239E-04	1.37078975364151E+02	   U
O_{696}(1.0)	3.53259270689515E-01	3.73271550862624E-01	2.87430712690434E-01	-2.83108444405814E-02	1.37126945256372E+02	   U
O_{697}(1.0)	2.87018679654849E-01	2.48538797344587E-01	8.02318269605074E-02	3.45882347651586E-03	1.37161401747603E+02	   U
O_{698}(1.0)	4.91563184482358E-01	4.64261194218044E-01	2.64224438267279E-01	-9.48899784266377E-03	1.37184809161719E+02	   U
O_{699}(1.0)	4.58842583921478E-01	4.01667763540820E-01	2.75390482206672E-01	1.05884202307452E-02	1.37280275517931E+02	   U
O_{700}(1.0)	2.50101058894709E-01	2.52573493473076E-01	5.69417589802748E-01	1.09875653320034E-02	1.37572803235358E+02	   U
O_{701}(1.0)	4.16284188846371E-01	2.69134711698954E-01	1.32919656795565E-01	3.96726312710184E-03	1.37793114628703E+02	   U
O_{702}(1.0)	2.07145959508630E-01	5.19222504101215E-01	6.63547486688041E-02	-1.34156847508223E-03	1.38000464681272E+02	   U
O_{703}(1.0)	3.34127264938152E-01	2.56958038862638E-01	9.13835084315131E-02	-3.21665126353914E-03	1.38152775655444E+02	   U
O_{704}(1.0)	1.36049484747395E-01	3.35653459552875E-01	2.65394370573847E-01	-2.91457415319058E-03	1.38365203901380E+02	   U
O_{705}(1.0)	3.42341866577093E-01	2.38207948485718E-01	1.08130761566111E-01	3.10482932348585E-03	1.38402107822001E+02	   U
O_{706}(1.0)	2.33840776690915E-01	3.97061362561857E-01	3.47147173940563E-01	8.54034857062192E-03	1.38502027316164E+02	   U
O_{707}(1.0)	1.05331869532864E-01	2.96680632270672E-02	5.75196573213360E-01	-1.39881267126410E-03	1.38514421167477E+02	   U
O_{708}(1.0)	6.44195036589274E-02	2.87897903142708E-01	2.30517036071309E-01	6.83081349388926E-03	1.38518982899476E+02	   U
O_{709}(1.0)	4.95459916754321E-01	4.51829874733344E-01	1.29725153021030E-01	1.45835974855295E-02	1.38580344565582E+02	   U
O_{710}(1.0)	9.51269791555428E-02	2.82138359019277E-01	5.43289633907298E-01	-1.69776860676282E-03	1.38669136370248E+02	   U
O_{711}(1.0)	4.53689144258679E-01	3.28522227249389E-01	1.68505296749457E-01	-1.75278138129979E-03	1.38768705779050E+02	   U
O_{712}(1.0)	2.20308466795939E-01	3.32276012996821E-01	5.34432445559250E-01	5.38774095807525E-03	1.38909008594551E+02	   U
O_{713}(1.0)	2.75640102777388E-01	3.97004004746519E-01	3.29836890632574E-01	2.54864219672306E-03	1.39024188156059E+02	   U
O_{714}(1.0)	4.15014770594385E-01	4.04135889972646E-01	1.87258402697688E-01	-2.16151869409772E-02	1.39106338118323E+02	   U
O_{715}(1.0)	4.69006666438922E-01	4.17089676655093E-01	1.74656986290620E-01	5.32999160600199E-03	1.39121037097895E+02	   U
O_{716}(1.0)	2.16705270260461E-02	2.50291635261051E-01	5.16333823904821E-01	-2.51023403970043E-04	1.39128020749140E+02	   U
O_{717}(1.0)	2.68728673916995E-02	3.46685536574767E-01	5.32829420339796E-01	5.35896414333144E-04	1.39189315700104E+02	   S
O_{718}(1.0)	4.03984373944564E-01	4.27315659302122E-01	1.91825808778673E-01	3.98670510922051E-03	1.39250258216709E+02	   S
O_{719}(1.0)	4.09377334571437E-01	3.35866205818687E-01	2.92653411724813E-01	-2.36988743239943E-02	1.39323647546897E+02	   U
O_{720}(1.0)	2.47385476906865E-01	3.39104911504394E-01	5.57941716852556E-01	-4.33397699572913E-03	1.39378552820396E+02	   U
O_{721}(1.0)	1.06820983855908E-01	3.40199109609967E-01	5.34518991601338E-01	1.89622868628835E-03	1.39523262492492E+02	   S
O_{722}(1.0)	9.76777091716112E-02	4.35589375609154E-01	2.65029950059281E-01	-9.56472090521828E-03	1.39544074117233E+02	   U
O_{723}(1.0)	1.59998491217430E-01	4.85291603732013E-02	5.72025180499343E-01	-9.96493919664286E-04	1.39574812326416E+02	   U
O_{724}(1.0)	1.51036510081508E-01	6.34227102061131E-02	5.82232425936414E-01	-2.46218527552491E-04	1.39790000550481E+02	   U
O_{725}(1.0)	1.43249420531152E-01	3.44298416547610E-01	2.61823731944929E-01	5.13459447350654E-03	1.39878342833066E+02	   U
O_{726}(1.0)	1.36498434701314E-01	3.39158960921128E-01	2.69703419042130E-01	2.24817443830718E-03	1.39897407777156E+02	   U
O_{727}(1.0)	1.32542790737292E-01	3.37987011678661E-01	5.34872063267043E-01	1.77380043857030E-03	1.39901737117984E+02	   S
O_{728}(1.0)	3.95601938022075E-01	2.45626152944744E-01	1.59260186697326E-01	1.33325717969246E-02	1.39953135736661E+02	   U
O_{729}(1.0)	8.38914913339866E-02	4.10375302174213E-01	2.75138020773859E-01	8.91273845526904E-03	1.39972802247994E+02	   U
O_{730}(1.0)	1.11588575392954E-01	4.23124995037909E-01	3.37171041893858E-01	1.98660840196770E-03	1.39993929994151E+02	   U
O_{731}(1.0)	4.94292319896151E-01	4.86936780050312E-01	2.06830663929915E-01	-1.48302965096535E-02	1.40024918207387E+02	   U
O_{732}(1.0)	3.72528073640492E-01	4.48590760925711E-01	3.47347009215478E-01	4.41442867441059E-03	1.40038583396074E+02	   U
O_{733}(1.0)	3.63658318848335E-01	4.77249142773588E-01	1.81872044563718E-01	1.72457800685948E-02	1.40294529950467E+02	   U
O_{734}(1.0)	1.68214634290179E-01	1.08464217410289E-01	5.74975018177650E-01	-9.82385265592859E-03	1.40313102550156E+02	   S
O_{735}(1.0)	1.45234785429833E-01	3.32635574964061E-01	5.26160697876615E-01	-3.13743831073568E-03	1.40410311427091E+02	   U
O_{736}(1.0)	3.87693161995135E-01	4.19569147486716E-01	2.91277027846771E-01	1.02691487436245E-02	1.40435739183314E+02	   U
O_{737}(1.0)	1.22100036374626E-01	4.58399993134304E-01	2.50240362181966E-01	4.84428579321685E-03	1.40569417065919E+02	   U
O_{738}(1.0)	3.63415889493037E-01	3.62856900175456E-01	2.83877887554466E-01	-2.96171216785502E-02	1.40874748982016E+02	   U
O_{739}(1.0)	5.32171136891742E-02	5.15340875445934E-01	1.01703954038218E-01	-1.06532214592177E-02	1.40888018028424E+02	   U
O_{740}(1.0)	2.25815686146533E-01	4.17535319852416E-01	3.24075090905086E-01	-2.09230218283496E-02	1.41165576249335E+02	   U
O_{741}(1.0)	2.43951212098458E-01	2.53088868605748E-01	1.41875796852715E-01	4.46124811860054E-03	1.41232289211394E+02	   S
O_{742}(1.0)	4.79874248021706E-01	3.46326525715559E-01	1.72396854668072E-01	1.63221658777546E-03	1.41301577190108E+02	   U
O_{743}(1.0)	4.61893997868550E-01	4.90177135355602E-01	8.87356673550806E-02	-2.68867102938729E-02	1.41378912390370E+02	   U
O_{744}(1.0)	5.64155133114327E-01	4.39433868480726E-01	2.54603291289737E-01	2.97528312430122E-03	1.41437627965757E+02	   U
O_{745}(1.0)	4.56450046489796E-02	2.66423121220953E-01	5.24758099360745E-01	2.59820143604021E-04	1.41528397611835E+02	   S
O_{746}(1.0)	8.52278787647494E-02	4.18470711736070E-01	2.71126334234205E-01	-1.45597028171079E-02	1.41648224290719E+02	   U
O_{747}(1.0)	3.00136858555407E-01	2.43771596735919E-01	8.30886193041140E-02	-3.95619560599835E-03	1.41764709463268E+02	   U
O_{748}(1.0)	4.52580581262129E-02	2.60188203866195E-01	5.28542723295377E-01	1.09674612137646E-04	1.41830812685299E+02	   U
O_{749}(1.0)	6.03436160662698E-02	5.19751911291922E-01	9.09215704026440E-02	-1.07609599620944E-02	1.41941357239226E+02	   U
O_{750}(1.0)	4.35860305568918E-01	3.37667315106693E-01	2.93648920618437E-01	-1.26105405321623E-02	1.42043682431600E+02	   S
O_{751}(1.0)	2.13569540334094E-01	2.48133898910278E-01	2.03035232288720E-01	2.34798059492064E-03	1.42130797687643E+02	   U
O_{752}(1.0)	1.64957321287565E-01	4.08149075919890E-01	3.20735319693710E-01	9.82544182685404E-03	1.42409249182409E+02	   U
O_{753}(1.0)	2.04998750820334E-01	4.40669970385954E-01	3.42433173932362E-01	3.21717562955678E-04	1.42787545753106E+02	   U
O_{754}(1.0)	3.17700928692465E-01	2.45747106338000E-01	1.50782045864773E-01	8.14855138265855E-03	1.42821422657136E+02	   U
O_{755}(1.0)	2.80432889313402E-01	2.48317129814355E-01	7.98380029372073E-02	2.43666929484001E-03	1.42828026333622E+02	   U
O_{756}(1.0)	2.51339007981321E-01	3.16762329197694E-01	5.52470796755477E-01	1.08974728640392E-03	1.42834310106434E+02	   U
O_{757}(1.0)	3.92717386433206E-01	2.46754061126762E-01	1.73202645783209E-01	1.66255867586537E-02	1.42865130730150E+02	   U
O_{758}(1.0)	1.64536052359194E-01	2.53747165563631E-01	1.74997291876068E-01	1.87328631519391E-03	1.43007714498289E+02	   U
O_{759}(1.0)	2.96479568948400E-01	4.73543052406971E-01	2.69330987813323E-01	-1.20885224815383E-02	1.43016298501979E+02	   U
O_{760}(1.0)	6.30543181279399E-01	2.15502203221597E-01	2.21918568045984E-01	-1.87311479754514E-03	1.43343356943812E+02	   U
O_{761}(1.0)	4.72633615487124E-01	3.94958415614702E-01	2.74598854034353E-01	1.61538354117081E-02	1.43541711136985E+02	   U
O_{762}(1.0)	3.24685023075825E-01	2.38704677012920E-01	1.06724170894687E-01	1.00580178932764E-03	1.43562168101629E+02	   U
O_{763}(1.0)	3.45334259786817E-01	2.40045123668395E-01	1.70025691550785E-01	-3.74175202618424E-04	1.43598627179917E+02	   U
O_{764}(1.0)	9.60177498544988E-02	2.66936778598807E-02	5.76006292164247E-01	-2.26047245526360E-03	1.43612058141386E+02	   U
O_{765}(1.0)	6.12529472411805E-02	2.81360760557199E-01	2.28423127897830E-01	3.74254673693011E-03	1.43638413602305E+02	   U
O_{766}(1.0)	1.11457148855109E-01	4.02913155531722E-02	5.84531662622321E-01	8.29144229773873E-04	1.43677036191710E+02	   U
O_{767}(1.0)	3.86678736520509E-01	4.22037210542082E-01	1.97636320032141E-01	-7.54292348030214E-03	1.43722261976546E+02	   U
O_{768}(1.0)	3.24460614740907E-01	2.57038801768606E-01	8.99587764734421E-02	-3.96611150511946E-03	1.43771781529088E+02	   U
O_{769}(1.0)	1.66762136599900E-01	3.30552414102857E-01	5.20374230559931E-01	4.30315775368584E-03	1.43866757788794E+02	   U
O_{770}(1.0)	3.82686824691837E-01	3.48911617810711E-01	3.08697032910796E-01	-4.01277942951308E-04	1.44000180211975E+02	   U
O_{771}(1.0)	4.38721514604453E-01	4.55117019137666E-01	1.51131320955490E-01	-9.93220233432967E-03	1.44057192266539E+02	   U
O_{772}(1.0)	3.95156219287019E-01	4.08196778694373E-01	2.89521456492851E-01	6.83273235073814E-03	1.44228236662064E+02	   U
O_{773}(1.0)	3.56142857145262E-01	2.43173166933409E-01	1.07002018535765E-01	1.32284343059114E-03	1.44424291246060E+02	   U
O_{774}(1.0)	2.35384628323541E-01	4.25518034075460E-01	3.24425327022316E-01	-1.32833354826312E-02	1.44471643695554E+02	   U
O_{775}(1.0)	3.58296107766982E-01	4.31278916856463E-01	3.01352751738621E-01	2.06699473153002E-02	1.44543703598396E+02	   U
O_{776}(1.0)	4.46202254083212E-01	4.58240911072766E-01	2.52349862019364E-01	-4.84560178128103E-02	1.44599164890466E+02	   U
O_{777}(1.0)	7.79431795142519E-02	4.21801926083795E-01	5.10971405506188E-01	-9.66359594795039E-03	1.44642292027448E+02	   S
O_{778}(1.0)	1.08400710989817E-01	4.15171616877215E-01	3.38456582330901E-01	2.12756095468140E-03	1.44797493614785E+02	   U
O_{779}(1.0)	4.15865101043690E-01	4.03592074982043E-01	2.58833304277326E-01	-1.29216331204283E-02	1.44928412214993E+02	   U
O_{780}(1.0)	2.33835098647077E-01	2.41419434018408E-01	1.89079037491548E-01	-7.61580206589186E-03	1.45030962812815E+02	   U
O_{781}(1.0)	4.14558097640271E-01	3.51472319305999E-01	2.99342619821853E-01	-1.02435862352446E-03	1.45098597835335E+02	   U
O_{782}(1.0)	1.08443549012499E-01	3.55053193120734E-01	5.35450264020955E-01	3.59387766391627E-03	1.45309189341788E+02	   S
O_{783}(1.0)	2.47792066201548E-01	2.74420807212112E-01	5.40806826794226E-01	-5.92106241540820E-03	1.45371040278033E+02	   U
O_{784}(1.0)	2.57052690123773E-02	3.46722176143718E-01	5.32820531583974E-01	5.12942602529918E-04	1.45514378227040E+02	   S
O_{785}(1.0)	5.13580093834876E-02	3.45545250716207E-01	5.33107383934320E-01	1.00298082527889E-03	1.45571561807207E+02	   S
O_{786}(1.0)	4.96844147734597E-01	4.47427546078834E-01	2.54920056068111E-01	-2.55130751917951E-02	1.45783901761692E+02	   U
O_{787}(1.0)	1.02226021363937E-01	3.40880362813281E-01	5.34298087711703E-01	1.81193221137368E-03	1.45829547840593E+02	   S
O_{788}(1.0)	3.14297781249804E-01	4.78810481447676E-01	1.75493748012540E-01	-4.62484119873595E-03	1.45909593615661E+02	   U
O_{789}(1.0)	2.51296714498886E-01	4.85434668550900E-01	2.03505109979426E-01	-1.34408612147506E-02	1.46076366949465E+02	   U
O_{790}(1.0)	1.08883155345035E-01	2.03052693013662E-01	5.26878769869296E-01	7.81668459259828E-04	1.46077925766533E+02	   U
O_{791}(1.0)	1.97222876892341E-01	3.86800462349549E-01	5.07218365882736E-01	1.39031153022822E-02	1.46152291473303E+02	   U
O_{792}(1.0)	6.85233853318634E-02	3.82350667081434E-01	2.75501991997168E-01	-1.37014230600563E-02	1.46290629310661E+02	   U
O_{793}(1.0)	1.50668568814771E-01	3.35093721551561E-01	5.35289929562978E-01	1.21023760668724E-03	1.46293158547341E+02	   U
O_{794}(1.0)	2.86473527502061E-01	3.83864765258369E-01	3.06366099390195E-01	-2.27430037300442E-02	1.46331694493400E+02	   U
O_{795}(1.0)	2.46908372973297E-01	4.88573323868574E-01	1.86446915579956E-01	-2.33608222590856E-03	1.46819508016908E+02	   U
O_{796}(1.0)	2.91667548840666E-01	2.41405652813097E-01	8.22067077709503E-02	-5.35246779948452E-03	1.46983736544479E+02	   U
O_{797}(1.0)	7.05770932812363E-02	4.09194276219682E-01	2.81051914406580E-01	3.20174509796791E-02	1.47047790596114E+02	   S
O_{798}(1.0)	2.35789894034662E-01	2.53631847510354E-01	1.41289746268740E-01	3.21371856372109E-03	1.47056040058206E+02	   S
O_{799}(1.0)	4.94691559769614E-01	3.43393137183321E-01	1.68430397482643E-01	9.00244704371865E-03	1.47230675988911E+02	   S
